Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,pattern,n_pos,concordant,misclassified
SkinSensDB,4-(Methylamino) phenol hemisulfate salt,55-55-0,1,1,1,1,111,3,True,0
SkinSensDB,3-Dimethy1amino propylamine,109-55-7,0,1,1,1,011,2,False,1
SkinSensDB,Undecylenic acid,112-38-9,0,1,1,1,011,2,False,1
SkinSensDB,Maleic anhydride,108-31-6,1,0,0,1,100,1,False,1
SkinSensDB,Tropolone,533-75-5,1,1,1,1,111,3,True,0
SkinSensDB,Propyl 4-hydroxybenzoate,94-13-3,1,1,1,1,111,3,True,0
SkinSensDB,Benzocaine,94-09-7,0,1,1,1,011,2,False,1
SkinSensDB,Steptomycine sulfate,3810-74-0,0,0,0,1,000,0,True,1
SkinSensDB,4-Ethoxymethylene-2-phenyl-2-oxazolin-5- one,15646-46-5,1,1,1,1,111,3,True,0
SkinSensDB,Oxalic Acid,144-62-7,1,1,0,1,110,2,False,1
SkinSensDB,Butyl acrylate,141-32-2,1,1,1,1,111,3,True,0
SkinSensDB,1 -Butanol,71-36-3,0,0,0,1,000,0,True,1
SkinSensDB,2-Decenal,3913-71-1,1,1,1,1,111,3,True,0
SkinSensDB,1-Chlorooctadecane,3386-33-2,0,0,0,1,000,0,True,1
SkinSensDB,1-Iodohexadecane,544-77-4,1,1,0,1,110,2,False,1
SkinSensDB,Dibutyl aniline,613-29-6,0,0,1,1,001,1,False,1
SkinSensDB,Isopropyl myristate,110-27-0,0,0,0,1,000,0,True,1
SkinSensDB,"HC VIOLET No,1",82576-75-8,1,1,0,1,110,2,False,1
SkinSensDB,Lauryl gallate,1166-52-5,1,1,1,1,111,3,True,0
SkinSensDB,Ethyl acrylate,140-88-5,1,1,1,1,111,3,True,0
SkinSensDB,Methyl pyruvate,600-22-6,0,0,0,1,000,0,True,1
SkinSensDB,Phthalic anhydride,85-44-9,1,0,0,1,100,1,False,1
SkinSensDB,CAPE (Caffeic acid phenethyl ester),104594-70-9,1,1,1,1,111,3,True,0
SkinSensDB,1-(4-Methoxyphenyl)-1-penten-3-one,104-27-8,1,1,1,1,111,3,True,0
SkinSensDB,"2,5-Diaminotoluene sulfate",615-50-9,1,1,1,1,111,3,True,0
SkinSensDB,Chlorpromazine,69-09-0&50-53-3,0,0,1,1,001,1,False,1
SkinSensDB,2-Ethylhexyl acrylate,103-11-7,1,1,1,1,111,3,True,0
SkinSensDB,4-Amino-2-hydroxytoluene,2835-95-2,1,1,1,1,111,3,True,0
