Dataset,Chemical,CAS,KE1_call,KE2_call,KE3_call,LLNA_call,Misclassified,KE2_conflict,KE3_conflict,KE1_metric,KE1_metric__present,KS_call,KS_call__present,LuSens_call,LuSens_call__present,hCLAT_call,hCLAT_call__present,USENS_call,USENS_call__present,LLNA_call_endpoint,LLNA_call_endpoint__present,LLNA_EPA_call,LLNA_EPA_call__present,LLNA_EC3,LLNA_EC3__present,LLNA_EC3_call,LLNA_call_source,LLNA_call__present,complete_case_option_1,complete_case_option_2,complete_case_option_3,complete_case_option_4,complete_case
ICE,Butyl glycidyl ether,2426-08-6,1.0,1.0,1.0,1.0,0.0,0,1,39.4,1,Active,1,Active,1,Inactive,1,Active,1,1.0,1,,0,29.45,1,1.0,Call,1,1,1,1,0,0
ICE,alpha-Bromotoluene,100-39-0,1.0,1.0,1.0,1.0,0.0,0,0,62.05,1,Active,1,,0,Active,1,Active,1,,0,,0,0.2,1,1.0,EC3,1,0,1,1,1,1
ICE,Methyl styryl ketone,122-57-6,1.0,1.0,1.0,1.0,0.0,0,0,46.0,1,Active,1,Active,1,Active,1,Active,1,,0,,0,3.7,1,1.0,EC3,1,0,1,1,1,1
ICE,Chlorobenzene,108-90-7,0.0,0.0,1.0,0.0,1.0,0,1,0.425,1,Inactive,1,,0,Active,1,Inactive,1,0.0,1,,0,,0,,Call,1,1,0,1,0,0
ICE,3-Phenylprop-2-enal,104-55-2,1.0,1.0,1.0,1.0,0.0,0,0,58.7,1,Active,1,Active,1,Active,1,Active,1,,0,,0,1.3,1,1.0,EC3,1,0,1,1,1,1
ICE,"1,2-Benzisothiazolin-3-one",2634-33-5,1.0,1.0,1.0,1.0,0.0,0,0,51.85,1,Active,1,,0,Active,1,Active,1,,0,1.0,1,4.8,1,1.0,EPA Classification,1,0,1,1,1,1
ICE,Bisphenol A diglycidyl ether,1675-54-3,1.0,1.0,1.0,1.0,0.0,0,0,30.4,1,Active,1,,0,Active,1,Active,1,,0,,0,1.5,1,1.0,EC3,1,0,1,1,1,1
ICE,3-Phenyl-2-propen-1-ol,104-54-1,1.0,1.0,1.0,1.0,0.0,0,0,7.6,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,21.0,1,1.0,Call,1,1,1,1,1,1
ICE,"3,7-Dimethyl-2,6-octadienal",5392-40-5,1.0,1.0,1.0,1.0,0.0,0,0,43.6,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,6.449999999999999,1,1.0,Call,1,1,1,1,1,1
ICE,Coumarin,91-64-5,0.0,1.0,1.0,1.0,1.0,0,1,0.5,1,Active,1,,0,Inactive,1,Active,1,,0,,0,32.45,1,1.0,EC3,1,0,1,1,0,0
ICE,Diethyl phthalate,84-66-2,0.0,1.0,1.0,,,1,0,0.8999999999999999,1,Active,1,Inactive,1,Active,1,Active,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,Cyclamen aldehyde,103-95-7,1.0,1.0,1.0,1.0,0.0,0,1,9.625,1,Active,1,,0,Inactive,1,Active,1,,0,,0,22.3,1,1.0,EC3,1,0,1,1,0,0
ICE,2-Ethylbutyraldehyde,97-96-1,1.0,1.0,1.0,1.0,0.0,0,1,57.35,1,Active,1,,0,Active,1,Inactive,1,1.0,1,,0,72.1,1,1.0,Call,1,1,1,1,0,0
ICE,Diphenylcyclopropenone,886-38-4,1.0,1.0,1.0,,,0,0,50.7,1,Active,1,,0,Active,1,Active,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,"1,2-Dibromo-2,4-dicyanobutane",35691-65-7,1.0,1.0,1.0,1.0,0.0,0,0,52.15,1,Active,1,Active,1,Active,1,Active,1,,0,,0,0.9,1,1.0,EC3,1,0,1,1,1,1
ICE,Clofibrate,637-07-0,0.0,0.0,1.0,,,0,1,1.1500000000000001,1,Inactive,1,,0,Active,1,Inactive,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,Diethyl maleate,141-05-9,1.0,1.0,1.0,1.0,0.0,0,0,89.3,1,Active,1,Active,1,Active,1,Active,1,,0,,0,3.9,1,1.0,EC3,1,0,1,1,1,1
ICE,Ethyl benzoylacetate,94-02-0,0.0,1.0,0.0,,,0,0,4.075,1,Active,1,,0,Inactive,1,Inactive,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,3-Ethoxy-4-hydroxybenzaldehyde,121-32-4,1.0,1.0,0.0,,,0,0,14.2,1,Active,1,,0,Inactive,1,Inactive,1,,0,,0,,0,,,0,0,0,0,0,0
ICE,Ethylene glycol dimethacrylate,97-90-5,1.0,1.0,1.0,1.0,0.0,0,0,56.775000000000006,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,28.0,1,1.0,Call,1,1,1,1,1,1
ICE,Ethylenediamine,107-15-3,1.0,1.0,1.0,1.0,0.0,1,0,1.7,1,Active,1,Inactive,1,Active,1,Active,1,,0,,0,2.2,1,1.0,EC3,1,0,1,1,0,0
ICE,Eugenol,97-53-0,1.0,1.0,1.0,1.0,0.0,0,0,21.0,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,12.9,1,1.0,Call,1,1,1,1,1,1
ICE,Formaldehyde,50-00-0,1.0,1.0,1.0,1.0,0.0,0,0,24.225,1,Active,1,Active,1,Active,1,Active,1,1.0,1,,0,0.845,1,1.0,Call,1,1,1,1,1,1
ICE,"(E,E)-Farnesal",502-67-0,1.0,1.0,1.0,1.0,0.0,1,1,14.525,1,Active,1,Inactive,1,Active,1,Inactive,1,,0,,0,12.0,1,1.0,EC3,1,0,1,1,0,0
